post_id,text,length,topic,style,structure,likes,shares,comments,views
78,Travel safety tips,1100,Travel,Formal,Narrative,136,55,12,3000
79,AI in media,950,AI,Casual,Narrative,522,204,54,11100
80,AI and bias,1550,AI,Formal,List,109,51,15,4400
81,Quick breakfasts 2,550,Cooking,Casual,List,307,102,23,6400
82,Comfort food 2,950,Cooking,Formal,Narrative,162,60,18,4500
83,Weekend trips,850,Travel,Casual,Narrative,402,148,27,8400
84,Travel checklist 2,950,Travel,Formal,List,127,49,10,2800
85,AI for everyone,800,AI,Casual,List,486,193,46,9600
86,Neural nets,1800,AI,Formal,Narrative,88,42,12,3800
87,Simple dinners,600,Cooking,Casual,List,310,104,24,6500
88,Family meals,1000,Cooking,Formal,Narrative,158,57,16,4300
89,Travel hacks 2,800,Travel,Casual,List,400,148,26,8300
90,Travel insurance 2,1100,Travel,Formal,Narrative,133,53,11,2700
91,AI in sports,950,AI,Casual,Narrative,518,201,52,10900
92,AI and society 2,1500,AI,Formal,List,106,48,14,4200
93,Quick lunches 2,650,Cooking,Casual,List,312,106,23,6400
94,Seasonal dishes,1100,Cooking,Formal,Narrative,170,68,19,4800
95,Travel stories 2,900,Travel,Casual,Narrative,398,147,25,8200
96,Travel budgeting 2,1050,Travel,Formal,List,129,50,9,2600
97,AI for leaders,850,AI,Casual,List,484,191,45,9500
98,AI and law 2,1650,AI,Formal,Narrative,91,43,11,3700
99,Healthy snacks 2,600,Cooking,Casual,List,308,102,22,6300
100,Classic meals,950,Cooking,Formal,Narrative,160,58,17,4200
