contentId,creatorId,title,lengthSec,format,platform,createdAt
"c76","creator_26","Synthetic Item 76",136,"video","tiktok","2025-01-01"
"c77","creator_27","Synthetic Item 77",137,"article","twitch","2025-01-01"
"c78","creator_28","Synthetic Item 78",138,"short","spotify","2025-01-01"
"c79","creator_29","Synthetic Item 79",139,"podcast","youtube","2025-01-01"
"c80","creator_30","Synthetic Item 80",140,"live","blog","2025-01-01"
"c81","creator_31","Synthetic Item 81",141,"video","instagram","2025-01-01"
"c82","creator_32","Synthetic Item 82",142,"article","tiktok","2025-01-01"
"c83","creator_33","Synthetic Item 83",143,"short","twitch","2025-01-01"
"c84","creator_34","Synthetic Item 84",144,"podcast","spotify","2025-01-01"
"c85","creator_35","Synthetic Item 85",145,"live","youtube","2025-01-01"
"c86","creator_36","Synthetic Item 86",146,"video","blog","2025-01-01"
"c87","creator_37","Synthetic Item 87",147,"article","instagram","2025-01-01"
"c88","creator_38","Synthetic Item 88",148,"short","tiktok","2025-01-01"
"c89","creator_39","Synthetic Item 89",149,"podcast","twitch","2025-01-01"
"c90","creator_40","Synthetic Item 90",150,"live","spotify","2025-01-01"
"c91","creator_41","Synthetic Item 91",151,"video","youtube","2025-01-01"
"c92","creator_42","Synthetic Item 92",152,"article","blog","2025-01-01"
"c93","creator_43","Synthetic Item 93",153,"short","instagram","2025-01-01"
"c94","creator_44","Synthetic Item 94",154,"podcast","tiktok","2025-01-01"
"c95","creator_45","Synthetic Item 95",155,"live","twitch","2025-01-01"
"c96","creator_46","Synthetic Item 96",156,"video","spotify","2025-01-01"
"c97","creator_47","Synthetic Item 97",157,"article","youtube","2025-01-01"
"c98","creator_48","Synthetic Item 98",158,"short","blog","2025-01-01"
"c99","creator_49","Synthetic Item 99",159,"podcast","instagram","2025-01-01"
"c100","creator_50","Synthetic Item 100",160,"live","tiktok","2025-01-01"
"c101","creator_1","Synthetic Item 101",161,"video","twitch","2025-01-01"
"c102","creator_2","Synthetic Item 102",162,"article","spotify","2025-01-01"
"c103","creator_3","Synthetic Item 103",163,"short","youtube","2025-01-01"
"c104","creator_4","Synthetic Item 104",164,"podcast","blog","2025-01-01"
"c105","creator_5","Synthetic Item 105",165,"live","instagram","2025-01-01"
"c106","creator_6","Synthetic Item 106",166,"video","tiktok","2025-01-01"
"c107","creator_7","Synthetic Item 107",167,"article","twitch","2025-01-01"
"c108","creator_8","Synthetic Item 108",168,"short","spotify","2025-01-01"
"c109","creator_9","Synthetic Item 109",169,"podcast","youtube","2025-01-01"
"c110","creator_10","Synthetic Item 110",170,"live","blog","2025-01-01"
"c111","creator_11","Synthetic Item 111",171,"video","instagram","2025-01-01"
"c112","creator_12","Synthetic Item 112",172,"article","tiktok","2025-01-01"
"c113","creator_13","Synthetic Item 113",173,"short","twitch","2025-01-01"
"c114","creator_14","Synthetic Item 114",174,"podcast","spotify","2025-01-01"
"c115","creator_15","Synthetic Item 115",175,"live","youtube","2025-01-01"
"c116","creator_16","Synthetic Item 116",176,"video","blog","2025-01-01"
"c117","creator_17","Synthetic Item 117",177,"article","instagram","2025-01-01"
"c118","creator_18","Synthetic Item 118",178,"short","tiktok","2025-01-01"
"c119","creator_19","Synthetic Item 119",179,"podcast","twitch","2025-01-01"
"c120","creator_20","Synthetic Item 120",180,"live","spotify","2025-01-01"
"c121","creator_21","Synthetic Item 121",181,"video","youtube","2025-01-01"
"c122","creator_22","Synthetic Item 122",182,"article","blog","2025-01-01"
"c123","creator_23","Synthetic Item 123",183,"short","instagram","2025-01-01"
"c124","creator_24","Synthetic Item 124",184,"podcast","tiktok","2025-01-01"
"c125","creator_25","Synthetic Item 125",185,"live","twitch","2025-01-01"
"c126","creator_26","Synthetic Item 126",186,"video","spotify","2025-01-01"
"c127","creator_27","Synthetic Item 127",187,"article","youtube","2025-01-01"
"c128","creator_28","Synthetic Item 128",188,"short","blog","2025-01-01"
"c129","creator_29","Synthetic Item 129",189,"podcast","instagram","2025-01-01"
"c130","creator_30","Synthetic Item 130",190,"live","tiktok","2025-01-01"
"c131","creator_31","Synthetic Item 131",191,"video","twitch","2025-01-01"
"c132","creator_32","Synthetic Item 132",192,"article","spotify","2025-01-01"
"c133","creator_33","Synthetic Item 133",193,"short","youtube","2025-01-01"
"c134","creator_34","Synthetic Item 134",194,"podcast","blog","2025-01-01"
"c135","creator_35","Synthetic Item 135",195,"live","instagram","2025-01-01"
"c136","creator_36","Synthetic Item 136",196,"video","tiktok","2025-01-01"
"c137","creator_37","Synthetic Item 137",197,"article","twitch","2025-01-01"
"c138","creator_38","Synthetic Item 138",198,"short","spotify","2025-01-01"
"c139","creator_39","Synthetic Item 139",199,"podcast","youtube","2025-01-01"
"c140","creator_40","Synthetic Item 140",200,"live","blog","2025-01-01"
"c141","creator_41","Synthetic Item 141",201,"video","instagram","2025-01-01"
"c142","creator_42","Synthetic Item 142",202,"article","tiktok","2025-01-01"
"c143","creator_43","Synthetic Item 143",203,"short","twitch","2025-01-01"
"c144","creator_44","Synthetic Item 144",204,"podcast","spotify","2025-01-01"
"c145","creator_45","Synthetic Item 145",205,"live","youtube","2025-01-01"
"c146","creator_46","Synthetic Item 146",206,"video","blog","2025-01-01"
"c147","creator_47","Synthetic Item 147",207,"article","instagram","2025-01-01"
"c148","creator_48","Synthetic Item 148",208,"short","tiktok","2025-01-01"
"c149","creator_49","Synthetic Item 149",209,"podcast","twitch","2025-01-01"
"c150","creator_50","Synthetic Item 150",210,"live","spotify","2025-01-01"
"c151","creator_1","Synthetic Item 151",211,"video","youtube","2025-01-01"
"c152","creator_2","Synthetic Item 152",212,"article","blog","2025-01-01"
"c153","creator_3","Synthetic Item 153",213,"short","instagram","2025-01-01"
"c154","creator_4","Synthetic Item 154",214,"podcast","tiktok","2025-01-01"
"c155","creator_5","Synthetic Item 155",215,"live","twitch","2025-01-01"
"c156","creator_6","Synthetic Item 156",216,"video","spotify","2025-01-01"
"c157","creator_7","Synthetic Item 157",217,"article","youtube","2025-01-01"
"c158","creator_8","Synthetic Item 158",218,"short","blog","2025-01-01"
"c159","creator_9","Synthetic Item 159",219,"podcast","instagram","2025-01-01"
"c160","creator_10","Synthetic Item 160",220,"live","tiktok","2025-01-01"
"c161","creator_11","Synthetic Item 161",221,"video","twitch","2025-01-01"
"c162","creator_12","Synthetic Item 162",222,"article","spotify","2025-01-01"
"c163","creator_13","Synthetic Item 163",223,"short","youtube","2025-01-01"
"c164","creator_14","Synthetic Item 164",224,"podcast","blog","2025-01-01"
"c165","creator_15","Synthetic Item 165",225,"live","instagram","2025-01-01"
"c166","creator_16","Synthetic Item 166",226,"video","tiktok","2025-01-01"
"c167","creator_17","Synthetic Item 167",227,"article","twitch","2025-01-01"
"c168","creator_18","Synthetic Item 168",228,"short","spotify","2025-01-01"
"c169","creator_19","Synthetic Item 169",229,"podcast","youtube","2025-01-01"
"c170","creator_20","Synthetic Item 170",230,"live","blog","2025-01-01"
"c171","creator_21","Synthetic Item 171",231,"video","instagram","2025-01-01"
"c172","creator_22","Synthetic Item 172",232,"article","tiktok","2025-01-01"
"c173","creator_23","Synthetic Item 173",233,"short","twitch","2025-01-01"
"c174","creator_24","Synthetic Item 174",234,"podcast","spotify","2025-01-01"
"c175","creator_25","Synthetic Item 175",235,"live","youtube","2025-01-01"
"c176","creator_26","Synthetic Item 176",236,"video","blog","2025-01-01"
"c177","creator_27","Synthetic Item 177",237,"article","instagram","2025-01-01"
"c178","creator_28","Synthetic Item 178",238,"short","tiktok","2025-01-01"
"c179","creator_29","Synthetic Item 179",239,"podcast","twitch","2025-01-01"
"c180","creator_30","Synthetic Item 180",240,"live","spotify","2025-01-01"
"c181","creator_31","Synthetic Item 181",241,"video","youtube","2025-01-01"
"c182","creator_32","Synthetic Item 182",242,"article","blog","2025-01-01"
"c183","creator_33","Synthetic Item 183",243,"short","instagram","2025-01-01"
"c184","creator_34","Synthetic Item 184",244,"podcast","tiktok","2025-01-01"
"c185","creator_35","Synthetic Item 185",245,"live","twitch","2025-01-01"
"c186","creator_36","Synthetic Item 186",246,"video","spotify","2025-01-01"
"c187","creator_37","Synthetic Item 187",247,"article","youtube","2025-01-01"
"c188","creator_38","Synthetic Item 188",248,"short","blog","2025-01-01"
"c189","creator_39","Synthetic Item 189",249,"podcast","instagram","2025-01-01"
"c190","creator_40","Synthetic Item 190",250,"live","tiktok","2025-01-01"
"c191","creator_41","Synthetic Item 191",251,"video","twitch","2025-01-01"
"c192","creator_42","Synthetic Item 192",252,"article","spotify","2025-01-01"
"c193","creator_43","Synthetic Item 193",253,"short","youtube","2025-01-01"
"c194","creator_44","Synthetic Item 194",254,"podcast","blog","2025-01-01"
"c195","creator_45","Synthetic Item 195",255,"live","instagram","2025-01-01"
"c196","creator_46","Synthetic Item 196",256,"video","tiktok","2025-01-01"
"c197","creator_47","Synthetic Item 197",257,"article","twitch","2025-01-01"
"c198","creator_48","Synthetic Item 198",258,"short","spotify","2025-01-01"
"c199","creator_49","Synthetic Item 199",259,"podcast","youtube","2025-01-01"
"c200","creator_50","Synthetic Item 200",260,"live","blog","2025-01-01"
"c201","creator_1","Synthetic Item 201",261,"video","instagram","2025-01-01"
"c202","creator_2","Synthetic Item 202",262,"article","tiktok","2025-01-01"
"c203","creator_3","Synthetic Item 203",263,"short","twitch","2025-01-01"
"c204","creator_4","Synthetic Item 204",264,"podcast","spotify","2025-01-01"
"c205","creator_5","Synthetic Item 205",265,"live","youtube","2025-01-01"
"c206","creator_6","Synthetic Item 206",266,"video","blog","2025-01-01"
"c207","creator_7","Synthetic Item 207",267,"article","instagram","2025-01-01"
"c208","creator_8","Synthetic Item 208",268,"short","tiktok","2025-01-01"
"c209","creator_9","Synthetic Item 209",269,"podcast","twitch","2025-01-01"
"c210","creator_10","Synthetic Item 210",270,"live","spotify","2025-01-01"
"c211","creator_11","Synthetic Item 211",271,"video","youtube","2025-01-01"
"c212","creator_12","Synthetic Item 212",272,"article","blog","2025-01-01"
"c213","creator_13","Synthetic Item 213",273,"short","instagram","2025-01-01"
"c214","creator_14","Synthetic Item 214",274,"podcast","tiktok","2025-01-01"
"c215","creator_15","Synthetic Item 215",275,"live","twitch","2025-01-01"
"c216","creator_16","Synthetic Item 216",276,"video","spotify","2025-01-01"
"c217","creator_17","Synthetic Item 217",277,"article","youtube","2025-01-01"
"c218","creator_18","Synthetic Item 218",278,"short","blog","2025-01-01"
"c219","creator_19","Synthetic Item 219",279,"podcast","instagram","2025-01-01"
"c220","creator_20","Synthetic Item 220",280,"live","tiktok","2025-01-01"
"c221","creator_21","Synthetic Item 221",281,"video","twitch","2025-01-01"
"c222","creator_22","Synthetic Item 222",282,"article","spotify","2025-01-01"
"c223","creator_23","Synthetic Item 223",283,"short","youtube","2025-01-01"
"c224","creator_24","Synthetic Item 224",284,"podcast","blog","2025-01-01"
"c225","creator_25","Synthetic Item 225",285,"live","instagram","2025-01-01"
"c226","creator_26","Synthetic Item 226",286,"video","tiktok","2025-01-01"
"c227","creator_27","Synthetic Item 227",287,"article","twitch","2025-01-01"
"c228","creator_28","Synthetic Item 228",288,"short","spotify","2025-01-01"
"c229","creator_29","Synthetic Item 229",289,"podcast","youtube","2025-01-01"
"c230","creator_30","Synthetic Item 230",290,"live","blog","2025-01-01"
"c231","creator_31","Synthetic Item 231",291,"video","instagram","2025-01-01"
"c232","creator_32","Synthetic Item 232",292,"article","tiktok","2025-01-01"
"c233","creator_33","Synthetic Item 233",293,"short","twitch","2025-01-01"
"c234","creator_34","Synthetic Item 234",294,"podcast","spotify","2025-01-01"
"c235","creator_35","Synthetic Item 235",295,"live","youtube","2025-01-01"
"c236","creator_36","Synthetic Item 236",296,"video","blog","2025-01-01"
"c237","creator_37","Synthetic Item 237",297,"article","instagram","2025-01-01"
"c238","creator_38","Synthetic Item 238",298,"short","tiktok","2025-01-01"
"c239","creator_39","Synthetic Item 239",299,"podcast","twitch","2025-01-01"
"c240","creator_40","Synthetic Item 240",300,"live","spotify","2025-01-01"
"c241","creator_41","Synthetic Item 241",301,"video","youtube","2025-01-01"
"c242","creator_42","Synthetic Item 242",302,"article","blog","2025-01-01"
"c243","creator_43","Synthetic Item 243",303,"short","instagram","2025-01-01"
"c244","creator_44","Synthetic Item 244",304,"podcast","tiktok","2025-01-01"
"c245","creator_45","Synthetic Item 245",305,"live","twitch","2025-01-01"
"c246","creator_46","Synthetic Item 246",306,"video","spotify","2025-01-01"
"c247","creator_47","Synthetic Item 247",307,"article","youtube","2025-01-01"
"c248","creator_48","Synthetic Item 248",308,"short","blog","2025-01-01"
"c249","creator_49","Synthetic Item 249",309,"podcast","instagram","2025-01-01"
"c250","creator_50","Synthetic Item 250",310,"live","tiktok","2025-01-01"
"c251","creator_1","Synthetic Item 251",311,"video","twitch","2025-01-01"
"c252","creator_2","Synthetic Item 252",312,"article","spotify","2025-01-01"
"c253","creator_3","Synthetic Item 253",313,"short","youtube","2025-01-01"
"c254","creator_4","Synthetic Item 254",314,"podcast","blog","2025-01-01"
"c255","creator_5","Synthetic Item 255",315,"live","instagram","2025-01-01"
"c256","creator_6","Synthetic Item 256",316,"video","tiktok","2025-01-01"
"c257","creator_7","Synthetic Item 257",317,"article","twitch","2025-01-01"
"c258","creator_8","Synthetic Item 258",318,"short","spotify","2025-01-01"
"c259","creator_9","Synthetic Item 259",319,"podcast","youtube","2025-01-01"
"c260","creator_10","Synthetic Item 260",320,"live","blog","2025-01-01"
"c261","creator_11","Synthetic Item 261",321,"video","instagram","2025-01-01"
"c262","creator_12","Synthetic Item 262",322,"article","tiktok","2025-01-01"
"c263","creator_13","Synthetic Item 263",323,"short","twitch","2025-01-01"
"c264","creator_14","Synthetic Item 264",324,"podcast","spotify","2025-01-01"
"c265","creator_15","Synthetic Item 265",325,"live","youtube","2025-01-01"
"c266","creator_16","Synthetic Item 266",326,"video","blog","2025-01-01"
"c267","creator_17","Synthetic Item 267",327,"article","instagram","2025-01-01"
"c268","creator_18","Synthetic Item 268",328,"short","tiktok","2025-01-01"
"c269","creator_19","Synthetic Item 269",329,"podcast","twitch","2025-01-01"
"c270","creator_20","Synthetic Item 270",330,"live","spotify","2025-01-01"
"c271","creator_21","Synthetic Item 271",331,"video","youtube","2025-01-01"
"c272","creator_22","Synthetic Item 272",332,"article","blog","2025-01-01"
"c273","creator_23","Synthetic Item 273",333,"short","instagram","2025-01-01"
"c274","creator_24","Synthetic Item 274",334,"podcast","tiktok","2025-01-01"
"c275","creator_25","Synthetic Item 275",335,"live","twitch","2025-01-01"
"c276","creator_26","Synthetic Item 276",336,"video","spotify","2025-01-01"
"c277","creator_27","Synthetic Item 277",337,"article","youtube","2025-01-01"
"c278","creator_28","Synthetic Item 278",338,"short","blog","2025-01-01"
"c279","creator_29","Synthetic Item 279",339,"podcast","instagram","2025-01-01"
"c280","creator_30","Synthetic Item 280",340,"live","tiktok","2025-01-01"
"c281","creator_31","Synthetic Item 281",341,"video","twitch","2025-01-01"
"c282","creator_32","Synthetic Item 282",342,"article","spotify","2025-01-01"
"c283","creator_33","Synthetic Item 283",343,"short","youtube","2025-01-01"
"c284","creator_34","Synthetic Item 284",344,"podcast","blog","2025-01-01"
"c285","creator_35","Synthetic Item 285",345,"live","instagram","2025-01-01"
"c286","creator_36","Synthetic Item 286",346,"video","tiktok","2025-01-01"
"c287","creator_37","Synthetic Item 287",347,"article","twitch","2025-01-01"
"c288","creator_38","Synthetic Item 288",348,"short","spotify","2025-01-01"
"c289","creator_39","Synthetic Item 289",349,"podcast","youtube","2025-01-01"
"c290","creator_40","Synthetic Item 290",350,"live","blog","2025-01-01"
"c291","creator_41","Synthetic Item 291",351,"video","instagram","2025-01-01"
"c292","creator_42","Synthetic Item 292",352,"article","tiktok","2025-01-01"
"c293","creator_43","Synthetic Item 293",353,"short","twitch","2025-01-01"
"c294","creator_44","Synthetic Item 294",354,"podcast","spotify","2025-01-01"
"c295","creator_45","Synthetic Item 295",355,"live","youtube","2025-01-01"
"c296","creator_46","Synthetic Item 296",356,"video","blog","2025-01-01"
"c297","creator_47","Synthetic Item 297",357,"article","instagram","2025-01-01"
"c298","creator_48","Synthetic Item 298",358,"short","tiktok","2025-01-01"
"c299","creator_49","Synthetic Item 299",359,"podcast","twitch","2025-01-01"
"c300","creator_50","Synthetic Item 300",360,"live","spotify","2025-01-01"
"c301","creator_1","Synthetic Item 301",361,"video","youtube","2025-01-01"
"c302","creator_2","Synthetic Item 302",362,"article","blog","2025-01-01"
"c303","creator_3","Synthetic Item 303",363,"short","instagram","2025-01-01"
"c304","creator_4","Synthetic Item 304",364,"podcast","tiktok","2025-01-01"
"c305","creator_5","Synthetic Item 305",365,"live","twitch","2025-01-01"
"c306","creator_6","Synthetic Item 306",366,"video","spotify","2025-01-01"
"c307","creator_7","Synthetic Item 307",367,"article","youtube","2025-01-01"
"c308","creator_8","Synthetic Item 308",368,"short","blog","2025-01-01"
"c309","creator_9","Synthetic Item 309",369,"podcast","instagram","2025-01-01"
"c310","creator_10","Synthetic Item 310",370,"live","tiktok","2025-01-01"
"c311","creator_11","Synthetic Item 311",371,"video","twitch","2025-01-01"
"c312","creator_12","Synthetic Item 312",372,"article","spotify","2025-01-01"
"c313","creator_13","Synthetic Item 313",373,"short","youtube","2025-01-01"
"c314","creator_14","Synthetic Item 314",374,"podcast","blog","2025-01-01"
"c315","creator_15","Synthetic Item 315",375,"live","instagram","2025-01-01"
"c316","creator_16","Synthetic Item 316",376,"video","tiktok","2025-01-01"
"c317","creator_17","Synthetic Item 317",377,"article","twitch","2025-01-01"
"c318","creator_18","Synthetic Item 318",378,"short","spotify","2025-01-01"
"c319","creator_19","Synthetic Item 319",379,"podcast","youtube","2025-01-01"
"c320","creator_20","Synthetic Item 320",380,"live","blog","2025-01-01"
"c321","creator_21","Synthetic Item 321",381,"video","instagram","2025-01-01"
"c322","creator_22","Synthetic Item 322",382,"article","tiktok","2025-01-01"
"c323","creator_23","Synthetic Item 323",383,"short","twitch","2025-01-01"
"c324","creator_24","Synthetic Item 324",384,"podcast","spotify","2025-01-01"
"c325","creator_25","Synthetic Item 325",385,"live","youtube","2025-01-01"
"c326","creator_26","Synthetic Item 326",386,"video","blog","2025-01-01"
"c327","creator_27","Synthetic Item 327",387,"article","instagram","2025-01-01"
"c328","creator_28","Synthetic Item 328",388,"short","tiktok","2025-01-01"
"c329","creator_29","Synthetic Item 329",389,"podcast","twitch","2025-01-01"
"c330","creator_30","Synthetic Item 330",390,"live","spotify","2025-01-01"
"c331","creator_31","Synthetic Item 331",391,"video","youtube","2025-01-01"
"c332","creator_32","Synthetic Item 332",392,"article","blog","2025-01-01"
"c333","creator_33","Synthetic Item 333",393,"short","instagram","2025-01-01"
"c334","creator_34","Synthetic Item 334",394,"podcast","tiktok","2025-01-01"
"c335","creator_35","Synthetic Item 335",395,"live","twitch","2025-01-01"
"c336","creator_36","Synthetic Item 336",396,"video","spotify","2025-01-01"
"c337","creator_37","Synthetic Item 337",397,"article","youtube","2025-01-01"
"c338","creator_38","Synthetic Item 338",398,"short","blog","2025-01-01"
"c339","creator_39","Synthetic Item 339",399,"podcast","instagram","2025-01-01"
"c340","creator_40","Synthetic Item 340",400,"live","tiktok","2025-01-01"
"c341","creator_41","Synthetic Item 341",401,"video","twitch","2025-01-01"
"c342","creator_42","Synthetic Item 342",402,"article","spotify","2025-01-01"
"c343","creator_43","Synthetic Item 343",403,"short","youtube","2025-01-01"
"c344","creator_44","Synthetic Item 344",404,"podcast","blog","2025-01-01"
"c345","creator_45","Synthetic Item 345",405,"live","instagram","2025-01-01"
"c346","creator_46","Synthetic Item 346",406,"video","tiktok","2025-01-01"
"c347","creator_47","Synthetic Item 347",407,"article","twitch","2025-01-01"
"c348","creator_48","Synthetic Item 348",408,"short","spotify","2025-01-01"
"c349","creator_49","Synthetic Item 349",409,"podcast","youtube","2025-01-01"
"c350","creator_50","Synthetic Item 350",410,"live","blog","2025-01-01"
"c351","creator_1","Synthetic Item 351",411,"video","instagram","2025-01-01"
"c352","creator_2","Synthetic Item 352",412,"article","tiktok","2025-01-01"
"c353","creator_3","Synthetic Item 353",413,"short","twitch","2025-01-01"
"c354","creator_4","Synthetic Item 354",414,"podcast","spotify","2025-01-01"
"c355","creator_5","Synthetic Item 355",415,"live","youtube","2025-01-01"
"c356","creator_6","Synthetic Item 356",416,"video","blog","2025-01-01"
"c357","creator_7","Synthetic Item 357",417,"article","instagram","2025-01-01"
"c358","creator_8","Synthetic Item 358",418,"short","tiktok","2025-01-01"
"c359","creator_9","Synthetic Item 359",419,"podcast","twitch","2025-01-01"
"c360","creator_10","Synthetic Item 360",420,"live","spotify","2025-01-01"
"c361","creator_11","Synthetic Item 361",421,"video","youtube","2025-01-01"
"c362","creator_12","Synthetic Item 362",422,"article","blog","2025-01-01"
"c363","creator_13","Synthetic Item 363",423,"short","instagram","2025-01-01"
"c364","creator_14","Synthetic Item 364",424,"podcast","tiktok","2025-01-01"
"c365","creator_15","Synthetic Item 365",425,"live","twitch","2025-01-01"
"c366","creator_16","Synthetic Item 366",426,"video","spotify","2025-01-01"
"c367","creator_17","Synthetic Item 367",427,"article","youtube","2025-01-01"
"c368","creator_18","Synthetic Item 368",428,"short","blog","2025-01-01"
"c369","creator_19","Synthetic Item 369",429,"podcast","instagram","2025-01-01"
"c370","creator_20","Synthetic Item 370",430,"live","tiktok","2025-01-01"
"c371","creator_21","Synthetic Item 371",431,"video","twitch","2025-01-01"
"c372","creator_22","Synthetic Item 372",432,"article","spotify","2025-01-01"
"c373","creator_23","Synthetic Item 373",433,"short","youtube","2025-01-01"
"c374","creator_24","Synthetic Item 374",434,"podcast","blog","2025-01-01"
"c375","creator_25","Synthetic Item 375",435,"live","instagram","2025-01-01"
"c376","creator_26","Synthetic Item 376",436,"video","tiktok","2025-01-01"
"c377","creator_27","Synthetic Item 377",437,"article","twitch","2025-01-01"
"c378","creator_28","Synthetic Item 378",438,"short","spotify","2025-01-01"
"c379","creator_29","Synthetic Item 379",439,"podcast","youtube","2025-01-01"
"c380","creator_30","Synthetic Item 380",440,"live","blog","2025-01-01"
"c381","creator_31","Synthetic Item 381",441,"video","instagram","2025-01-01"
"c382","creator_32","Synthetic Item 382",442,"article","tiktok","2025-01-01"
"c383","creator_33","Synthetic Item 383",443,"short","twitch","2025-01-01"
